Position,Title,Type,Stories_Title,Source_Name,Source_Icon,Source_Authors,Link,Thumbnail,Date,Extracted_Date,Extracted_Time,Source_Icon_Domain,Link_Domain,Thumbnail_Domain,title_length,source_encoded,extracted_date,recency_factor,popularity_score,Sentiment_Score,Compound,Positive,Negative,Neutral,Sentiment_Label,polarity,sentiment_score
1,nz women beat sa women nz women won by  runs,stories,South Africa vs New Zealand Women's T20 World Cup Final,ESPNcricinfo,https://lh3.googleusercontent.com/1F5q05f6DSmrJdzUivT_FtnrMvAJNXtd-Plv06ozSQBoVO1zaRrCqqg8JNOKpzb2vJUwvFpftQ,,https://www.espncricinfo.com/series/icc-women-s-t20-world-cup-2024-25-1432420/new-zealand-women-vs-south-africa-women-final-1432444/live-cricket-score,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_800,q_50/lsci/db/PICTURES/CMS/389500/389531.6.jpg",2024-10-20 23:01:00+00:00,2024-10-20,23:01:00,lh3.googleusercontent.com,www.espncricinfo.com,img1.hscicdn.com,44,119,2024-10-20,15,0.1810777091254752,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}",0.5719,0.291,0.0,0.709,Positive,0.0,0.0
1,kerr halliday deliver world cup glory on dream day for nz cricket,stories,South Africa vs New Zealand Women's T20 World Cup Final,ESPNcricinfo,https://lh3.googleusercontent.com/1F5q05f6DSmrJdzUivT_FtnrMvAJNXtd-Plv06ozSQBoVO1zaRrCqqg8JNOKpzb2vJUwvFpftQ,Shashank Kishore,https://www.espncricinfo.com/series/icc-women-s-t20-world-cup-2024-25-1432420/new-zealand-women-vs-south-africa-women-final-1432444/match-report,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_960,q_50/lsci/db/PICTURES/CMS/389500/389531.6.jpg",2024-10-20 19:41:00+00:00,2024-10-20,19:41:00,lh3.googleusercontent.com,www.espncricinfo.com,img1.hscicdn.com,65,119,2024-10-20,15,0.2210016634980987,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.6705}",0.6705,0.355,0.0,0.645,Positive,0.0,0.0
1,new zealand beat south africa to win womens t cricket world cup final  as it happened,stories,South Africa vs New Zealand Women's T20 World Cup Final,The Guardian,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw,Tanya Aldred,https://www.theguardian.com/sport/live/2024/oct/20/south-africa-v-new-zealand-womens-t20-cricket-world-cup-final-live,https://i.guim.co.uk/img/media/c22a7eeed3a4831c9895848c04e8ef6260fc29ea/146_58_1946_1167/master/1946.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&enable=upscale&s=bcb877ea27202fa9f8532569ce2be3f5,2024-10-20 12:52:00+00:00,2024-10-20,12:52:00,lh3.googleusercontent.com,www.theguardian.com,i.guim.co.uk,85,437,2024-10-20,15,0.7124465304182509,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5859}",0.5859,0.202,0.0,0.798,Positive,0.31212121212121213,0.31212121212121213
2,fakhar zaman set to be dropped from pakistan squad but babar azam tweet unlikely the main reason heres why report,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/fakhar-zaman-set-to-be-dropped-from-pakistan-squad-but-babar-azam-tweet-unlikely-the-main-reason-heres-why-report-101729421548265.html,https://www.hindustantimes.com/ht-img/img/2024/10/20/1600x900/ANI-20231006114-0_1696875757892_1729421749133.jpg,2024-10-20 11:11:00+00:00,2024-10-20,11:11:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,113,190,2024-10-20,15,0.4134921577946767,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,-0.16666666666666669,-0.16666666666666669
3,bangladeshi cricketer shakib al hasans fans attacked by rivals in dhaka,block,,Al Jazeera English,https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8,,https://www.aljazeera.com/sports/2024/10/21/bangladeshi-cricketer-shakib-al-hasans-fans-attacked-by-rivals-in-dhaka,https://www.aljazeera.com/wp-content/uploads/2023/10/AP23301384205158-1698677573.jpg?resize=1920%2C1440,2024-10-21 09:33:00+00:00,2024-10-21,09:33:00,lh3.googleusercontent.com,www.aljazeera.com,www.aljazeera.com,71,14,2024-10-21,14,0.0826996197718631,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.0,0.231,0.769,Negative,0.0,0.0
4,sarfaraz khans waistline how sunil gavaskar wants cricketers to be assessed,block,,The Times of India,https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE,,https://timesofindia.indiatimes.com/sports/cricket/new-zealand-in-india/sarfaraz-khans-waistline-how-sunil-gavaskar-wants-cricketers-to-be-assessed/articleshow/114422794.cms,"https://static.toiimg.com/thumb/msid-114422780,width-1280,height-720,resizemode-4/114422780.jpg",2024-10-21 09:12:00+00:00,2024-10-21,09:12:00,lh3.googleusercontent.com,timesofindia.indiatimes.com,static.toiimg.com,75,469,2024-10-21,14,0.7390684410646386,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.2,0.2
5,pakistan v england third test jack leach feared for international career after summer omission,block,,BBC.com,https://lh3.googleusercontent.com/_XS8V0jvDj-pe4NDxsc_8_YEk38hNH30ocGDk7oEwtRZNw-kUUuQouAYLFO0uIPFLX05QCKyoSo,Stephan Shemilt,https://www.bbc.com/sport/cricket/articles/cvg32g17v62o,https://ichef.bbci.co.uk/news/1024/branded_sport/c7b2/live/9281d080-8f88-11ef-8093-674c3e767df6.jpg,2024-10-21 09:40:00+00:00,2024-10-21,09:40:00,lh3.googleusercontent.com,www.bbc.com,ichef.bbci.co.uk,94,30,2024-10-21,14,0.1492395437262357,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.4939}",-0.4939,0.0,0.198,0.802,Negative,0.0,0.0
6,cricket australia facing massive call amid push from fans to honour three legends,block,,Yahoo Sport Australia,https://lh3.googleusercontent.com/UJsDfSJy58eP9QaK_E3IymUjuHVDbiZNEFLQslG6juv0OS5NmwSqDvsNuxsvCTNhlgl54L1E,ADAM LUCIUS,https://au.sports.yahoo.com/cricket-australia-facing-massive-call-amid-push-from-fans-to-honour-three-legends-043813109.html,https://s.yimg.com/ny/api/res/1.2/cCcb90vdINdRHmURoDeLmw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTM0NQ--/https://s.yimg.com/os/creatr-uploaded-images/2024-10/0faad350-8f6f-11ef-bdf7-6416545da266,2024-10-21 04:38:00+00:00,2024-10-21,04:38:00,lh3.googleusercontent.com,au.sports.yahoo.com,s.yimg.com,81,567,2024-10-21,14,0.8902091254752851,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",0.5719,0.236,0.0,0.764,Positive,0.0,0.0
7,bcci to reject pcbs delhi proposal for champions trophy report says,block,,NDTV Sports,https://lh3.googleusercontent.com/sXxBVh8-O2ES4qxBT6SVUfw64x1ZAEd6HTaweDqieh47Ne5oApAnTNn4QU3rZ9ALH0QdM9TvAw,,https://sports.ndtv.com/cricket/bcci-to-reject-pcbs-delhi-proposal-for-champions-trophy-report-says-6836118,"https://c.ndtvimg.com/2024-06/mibvet7_india-pakistan-t20-match_625x300_10_June_24.jpg?im=FeatureCrop,algorithm=dnn,width=806,height=605",2024-10-21 03:20:00+00:00,2024-10-21,03:20:00,lh3.googleusercontent.com,sports.ndtv.com,c.ndtvimg.com,67,293,2024-10-21,14,0.4729087452471481,"{'neg': 0.179, 'neu': 0.596, 'pos': 0.225, 'compound': 0.1779}",0.1779,0.225,0.179,0.596,Positive,0.0,0.0
8,rohit three hours of bad cricket not going to dictate what this team is,block,,ESPNcricinfo,https://lh3.googleusercontent.com/1F5q05f6DSmrJdzUivT_FtnrMvAJNXtd-Plv06ozSQBoVO1zaRrCqqg8JNOKpzb2vJUwvFpftQ,Ashish Pant,https://www.espncricinfo.com/story/ind-v-nz-1st-test-rohit-sharma-three-hours-of-bad-cricket-not-going-to-dictate-what-this-team-is-1456261,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/389200/389239.6.jpg,2024-10-20 14:42:00+00:00,2024-10-20,14:42:00,lh3.googleusercontent.com,www.espncricinfo.com,img1.hscicdn.com,71,119,2024-10-20,15,0.2324085076045626,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0,0.212,0.788,Negative,-0.6999999999999998,-0.6999999999999998
9,kl rahul makes emotional gesture at bengaluru touches pitch after india suffer eightwicket defeat to new,block,,News18,https://lh3.googleusercontent.com/zF0XabCHgUbq76M0_0dmPR98DKUOM9ElwL4y7jA5oX2TUx1dUGTtcEuYjZ2kcanFE_m3U62NDw,Amar Sunil Panicker,https://www.news18.com/cricket/kl-rahul-makes-emotional-gesture-at-bengaluru-touches-pitch-after-india-suffer-eight-wicket-defeat-to-new-zealand-9092720.html,https://images.news18.com/ibnlive/uploads/2024/10/kl-rahul-bows-down-to-the-pitch-screengrab-feature-2024-10-680cecaa7d171e0f28c015610c776fda-16x9.png?impolicy=website&width=1200&height=675,2024-10-20 14:00:00+00:00,2024-10-20,14:00:00,lh3.googleusercontent.com,www.news18.com,images.news18.com,104,314,2024-10-20,15,0.5731879752851712,"{'neg': 0.308, 'neu': 0.616, 'pos': 0.076, 'compound': -0.7096}",-0.7096,0.076,0.308,0.616,Negative,0.06818181818181818,0.06818181818181818
10,new zealand celebrates a sporting weekend to remember,block,,Reuters,https://lh3.googleusercontent.com/OzNZmYwP-Zl3sTWa8dzzyws9hou0ZihOGJ_-qanon-1iB5KwyqcHOwPxYZj54cGMZwD5qXui,,https://www.reuters.com/sports/new-zealand-celebrates-sporting-weekend-remember-2024-10-21/,https://www.reuters.com/resizer/v2/Q7LNSVCNRRMHJFQYYYEFRBDXTU.jpg?auth=93f61209e5961732be87d5b2a79c3b7c05367221adda22425ac8f3a2c6e337f1&height=1200&width=1200&quality=80&smart=true,2024-10-21 04:39:00+00:00,2024-10-21,04:39:00,lh3.googleusercontent.com,www.reuters.com,www.reuters.com,53,359,2024-10-21,14,0.5403992395437263,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}",0.5719,0.346,0.0,0.654,Positive,0.13636363636363635,0.13636363636363635
11,todays cricket match  cricket update  cricket news  espncricinfo,block,,ESPNcricinfo,https://lh3.googleusercontent.com/1F5q05f6DSmrJdzUivT_FtnrMvAJNXtd-Plv06ozSQBoVO1zaRrCqqg8JNOKpzb2vJUwvFpftQ,,https://www.espncricinfo.com/,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_960,q_50/esci/media/motion/2024/1020/dm_241020_INET_CRIC_indvnz_rohit-pc_nonbranded_global/dm_241020_INET_CRIC_indvnz_rohit-pc_nonbranded_global.jpg",2016-09-06 13:20:00+00:00,2016-09-06,13:20:00,lh3.googleusercontent.com,www.espncricinfo.com,img1.hscicdn.com,64,119,2016-09-06,2981,0.219011884998202,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
12,shami  pain free but wants to play domestic cricket before australia tour,block,,ESPN,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://africa.espn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Daya Sagar,https://africa.espn.com/cricket/story/_/id/41920589/mohammed-shami-100-percent-pain-free-wants-play-domestic-cricket-australia-tour,https://a4.espncdn.com/combiner/i?img=%2Fi%2Fcricket%2Fcricinfo%2F1359403_1296x729.jpg,2024-10-21 10:35:00+00:00,2024-10-21,10:35:00,encrypted-tbn0.gstatic.com,africa.espn.com,a4.espncdn.com,73,118,2024-10-21,14,0.2347908745247147,"{'neg': 0.131, 'neu': 0.549, 'pos': 0.32, 'compound': 0.4767}",0.4767,0.32,0.131,0.549,Positive,0.20000000000000004,0.20000000000000004
13,live cricket score  scorecard  live commentary,block,,Cricbuzz,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.cricbuzz.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cricbuzz.com/cricket-match/live-scores,https://static.cricbuzz.com/a/img/v1/i1/c561889/india-win-set-the-tone-for-us-sophie-devine.jpg?d=low&p=det,2024-10-21 09:05:00+00:00,2024-10-21,09:05:00,encrypted-tbn3.gstatic.com,www.cricbuzz.com,static.cricbuzz.com,46,94,2024-10-21,14,0.1492395437262357,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.13636363636363635,0.13636363636363635
14,pakistan england cricket,block,,Bluefield Daily Telegraph,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.bdtonline.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.bdtonline.com/sports/national_sports/pakistan-england-cricket/image_f19a318a-3b98-5e70-8b35-536dc90fb13a.html,https://bloximages.chicago2.vip.townnews.com/bdtonline.com/content/tncms/assets/v3/editorial/f/19/f19a318a-3b98-5e70-8b35-536dc90fb13a/67161d89d7abb.image.jpg?resize=333%2C500,2024-10-21 09:53:00+00:00,2024-10-21,09:53:00,encrypted-tbn0.gstatic.com,www.bdtonline.com,bloximages.chicago2.vip.townnews.com,24,41,2024-10-21,14,0.0318441064638783,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
15,bangladesh vs south africa live score its a four south africa at  after  overs,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/bangladesh-vs-south-africa-live-score-1st-test-day-1-of-south-africa-tour-of-bangladesh-2024-final-updates-today-21-oct-2024-101729479554568.html,https://www.hindustantimes.com/ht-img/img/2023/10/06/1600x900/CRICKET-ICC-MENS-WC-2023-ENGNZL-ODI-6_1696592836309_1696592836773.jpg,2024-10-21 10:31:00+00:00,2024-10-21,10:31:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,78,190,2024-10-21,14,0.3469581749049428,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.13636363636363635,0.13636363636363635
16,las cricket events likely to be held on east coast wasserman says,block,,Sportico,https://lh3.googleusercontent.com/HnEKPXskEwaTgt3GXpyQSNC-hWFN3_ZdHCZP_tg_0SwQ5Y9avKJycVYFpEeOJ10yd_DaxcZgnQ,Eben Novy-williams,https://www.sportico.com/leagues/olympics/2024/la28-olympics-cricket-venues-east-coast-1234801777/,https://www.sportico.com/wp-content/uploads/2024/10/GettyImages-2165614002-e1729290531946.jpg?w=1280&h=721&crop=1,2024-10-18 23:27:00+00:00,2024-10-18,23:27:00,lh3.googleusercontent.com,www.sportico.com,www.sportico.com,65,394,2024-10-18,17,0.6131020278833966,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
17,cricket fans bid big for maharaj memorabilia,block,,The Witness | Your compass in the community,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://witness.co.za&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://witness.co.za/news/2024/10/21/cricket-fans-bid-big-for-maharaj-memorabilia/,https://images.caxton.co.za/wp-content/uploads/sites/144/2024/10/Keshav-Maharajs-Proteas-T-shirt-and-cricket-bat.jpg,2024-10-21 08:55:00+00:00,2024-10-21,08:55:00,encrypted-tbn3.gstatic.com,witness.co.za,images.caxton.co.za,44,479,2024-10-21,14,0.6943916349809884,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
18,new zealand wins crickets womens t world cup for st time with run victory over south africa,block,,WOKV,https://lh3.googleusercontent.com/3KXZrmCMI05oEAIbiUsmmDyKUfH3jrDyeUtRjJqJenS7dt9gs2Vs5ScM2MoJLI2NoG_ifMpt,,https://www.wokv.com/sports/new-zealand-wins/AQDU4XM26ZHENIYGRFYL6BTQZA/,https://www.wokv.com/resizer/50CoCpRkutu6dYzTdLSe65y7xw4=/1440x810/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/cmg/R7QDARG2FPCN66JLKML7OWB2QM.jpg,2024-10-20 18:51:00+00:00,2024-10-20,18:51:00,lh3.googleusercontent.com,www.wokv.com,www.wokv.com,91,544,2024-10-20,15,0.8764199144486691,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5719}",0.5719,0.188,0.0,0.812,Positive,0.21818181818181817,0.21818181818181817
19,pakistan use patio heaters and giant fans to prepare pitch for third test,block,,The Guardian,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw,Simon Burnton,https://www.theguardian.com/sport/2024/oct/20/cricket-pakistan-patio-heaters-giant-fans-pitch-third-test-england,https://i.guim.co.uk/img/media/a739cc26e51d765376d0998e0502d94bbd92ce58/0_74_2244_1346/master/2244.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=a84295be6757f297a98bf2463e44b682,2024-10-20 17:37:00+00:00,2024-10-20,17:37:00,lh3.googleusercontent.com,www.theguardian.com,i.guim.co.uk,73,437,2024-10-20,15,0.6896328422053232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
20,bangladesh vs south africa live streaming st test live telecast when and where to watch,block,,NDTV Sports,https://lh3.googleusercontent.com/sXxBVh8-O2ES4qxBT6SVUfw64x1ZAEd6HTaweDqieh47Ne5oApAnTNn4QU3rZ9ALH0QdM9TvAw,,https://sports.ndtv.com/cricket/bangladesh-vs-south-africa-live-streaming-1st-test-live-telecast-when-and-where-to-watch-6836310,"https://c.ndtvimg.com/2024-10/ers46aq_cas_625x300_21_October_24.jpeg?im=FeatureCrop,algorithm=dnn,width=806,height=605",2024-10-21 04:06:00+00:00,2024-10-21,04:06:00,lh3.googleusercontent.com,sports.ndtv.com,c.ndtvimg.com,87,293,2024-10-21,14,0.5109315589353611,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.13636363636363635,0.13636363636363635
21,gavaskar lambasts fitness purists in indian cricket sarfaraz khans returns on the field even more prodigious,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/gavaskar-lambasts-fitness-purists-in-indian-cricket-sarfaraz-khan-returns-on-the-field-even-more-prodigious-101729505542673.html,https://www.hindustantimes.com/ht-img/img/2024/10/21/1600x900/Sarfaraz_Khan_1729506089949_1729506090175.jpg,2024-10-21 10:25:00+00:00,2024-10-21,10:25:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,108,190,2024-10-21,14,0.4039923954372622,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",0.2732,0.123,0.0,0.877,Positive,0.5,0.5
